gameID,game_datetime,blackID,blackELO,redID,redELO,winner
57380813,2017-02-10 13:16:03,gpk1578g,1115,minhvanhoang,1450,black
57380814,2017-02-10 13:23:03,deosoai12,1248,bck2988g,1219,black
57380815,2017-02-10 13:27:42,nguyentha81,1423,phuongthao99,1246,black
57380816,2017-02-10 13:18:11,fng8929g,1309,ttb7697g,1315,red
57380817,2017-02-10 13:20:53,dnb4572g,1115,ftc6986g,1089,black
57380818,2017-02-10 13:26:07,quest1234,1412,phamtinh2016,1500,black
57380819,2017-02-10 13:24:47,cpm3799g,1040,stp9778g,1420,red
57380820,2017-02-10 13:21:38,khanhbul,1288,bsw3201g,1265,black
57380821,2017-02-10 13:21:58,sbccong,1328,vanvomh1972,1452,red
57380822,2017-02-10 13:24:30,oakwood28,1307,sieucaothuvn,1336,red
57380823,2017-02-10 13:25:49,quyendzima,1262,cubi23,1281,black
57380824,2017-02-10 13:25:44,wmn241g,1439,cothapma,1634,red
57380825,2017-02-10 13:29:13,vanthoi79,1183,cdw7352g,1328,red
57380826,2017-02-10 13:25:46,lmkok,1065,mamtom,1331,red
57380827,2017-02-10 13:24:49,phandung99,1498,thanhtongtm,1331,red
57380828,2017-02-10 13:28:55,mafuga,1175,pfs2327g,1010,red
57380829,2017-02-10 13:27:34,fmf6252g,1192,tks3202g,964,black
57380830,2017-02-10 13:27:30,trungtg,1423,cflin844,1243,black
57380831,2017-02-10 13:26:37,npc2044g,1200,pgp1426g,1004,red
57380832,2017-02-10 13:27:38,tsk8201g,1239,tfd5789,1234,black
57380833,2017-02-10 13:25:14,anhvu16,1333,stm3460g,1268,red
57380834,2017-02-10 13:24:00,tgk5241g,1084,467hanoi,1278,red
57380835,2017-02-10 13:23:57,knt4937g,1048,phule,1307,black
57380836,2017-02-10 13:24:36,pss7198g,1292,chenzhang,1319,black
57380837,2017-02-10 13:26:00,cocomsk,1144,sgb1064g,1333,black
57380838,2017-02-10 13:16:20,kpn4467,1436,yeukts,1351,black
57380839,2017-02-10 13:13:54,fbb131g,1161,nkd1289g,1144,red
57380840,2017-02-10 13:25:10,vinataba,1416,dieplientu1,1454,red
57380841,2017-02-10 13:27:07,bkb2874g,1199,pvh101,1175,black
57380842,2017-02-10 13:24:08,amical12,1325,darkrise,1416,red
57380843,2017-02-10 13:22:17,kcb3137g,1306,vosatuong,1292,black
57380844,2017-02-10 13:16:59,karelcz,1524,dong1966,1541,red
57380845,2017-02-10 13:24:05,sodier,1227,cdg5959g,1200,red
57380846,2017-02-10 13:20:33,tuyetem,1497,khanh1963,1408,red
57380847,2017-02-10 13:24:10,haoxiaozi,1519,chuasuoitam,1427,red
57380848,2017-02-10 12:58:43,limqixian,1266,onlineplayer,1469,red
57380849,2017-02-10 13:24:47,tgw7749g,1406,yemhan,1393,red
57380850,2017-02-10 13:27:20,fwm7507,977,thquoc,1018,red
57380851,2017-02-10 13:30:10,ftc6986g,1074,dnb4572g,1130,red
57380852,2017-02-10 13:22:27,tsctsc,1219,xuantien84,1128,red
57380853,2017-02-10 13:22:56,kkd1969,1406,ppk9791g,1135,black
57380854,2017-02-10 13:30:42,vinataba,1402,diieplientu,1415,red
57380855,2017-02-10 13:21:12,pnk5718g,1216,xaxu,1191,black
57380856,2017-02-10 13:28:20,minhtrihan1,1219,fdg3943g,1490,red
57380857,2017-02-10 13:16:01,miuxinh1,1390,vosonduan,1440,red
57380858,2017-02-10 13:30:15,bsw3201g,1250,khanhbul,1303,black
57380859,2017-02-10 13:29:28,mcm1890g,1200,nguyentam51,1392,red
57380860,2017-02-10 13:26:07,ntw868g,1412,dgs3593g,1391,black
57380861,2017-02-10 13:30:29,kimviet,1208,dsm2026g,1160,red
57380862,2017-02-10 13:24:57,fkd7450g,1294,gdk6968g,969,red
57380863,2017-02-10 13:22:34,khoivanminh,1166,0879,1259,black
57380864,2017-02-10 13:27:41,tan1963,1278,ckd6919g,1210,red
57380865,2017-02-10 13:25:06,ptiang,1444,toivaban,1275,black
57380866,2017-02-10 13:29:51,quocbao83,1428,songlongphao,1315,red
57380867,2017-02-10 13:23:32,bdf7557g,1213,skf4165g,1137,red
57380868,2017-02-10 13:27:40,a8888,1304,sapcodiban,1191,black
57380869,2017-02-10 13:13:53,quanminh,1277,chienlien57,1425,black
57380870,2017-02-10 13:24:52,1955ok,1214,alalaloog,1355,black
57380871,2017-02-10 13:29:44,tbb4695g,1089,mkf4585g,1199,red
57380872,2017-02-10 13:30:15,hungvietnam,1096,8tai,1134,red
57380873,2017-02-10 13:16:39,wks9752g,1200,kgw8733g,1213,red
57380874,2017-02-10 13:25:09,trungga,1125,pkk1906g,1459,red
57380875,2017-02-10 13:22:30,chichu,1246,ndw9979g,1234,red
57380876,2017-02-10 13:25:45,tvsvtdm,1243,batt3,1264,red
57380877,2017-02-10 13:16:23,tigrep,1707,grandnoisy,1646,black
57380878,2017-02-10 13:13:31,ctb8657g,1091,nst8174g,1142,red
57380879,2017-02-10 13:00:14,krumlov02,1359,ssicmoi,1490,black
57380880,2017-02-10 13:23:46,viet1234,1280,royroyroy,1372,red
57380881,2017-02-10 13:14:38,ckk7751g,1195,gdm5143g,1192,black
57380882,2017-02-10 13:24:03,tuanpro123,1676,dangtien,1490,black
57380883,2017-02-10 13:25:32,wbf1458g,1210,gft1852g,1277,red
57380884,2017-02-10 13:23:47,thlco,1227,dnf3488g,1200,black
57380885,2017-02-10 13:25:21,msp2744g,1135,ngoanvuba,1013,red
57380886,2017-02-10 13:16:56,dmf8243,1342,bdk3746g,1418,red
57380887,2017-02-10 13:24:30,fpc7668g,1179,cmf7050g,1200,black
57380888,2017-02-10 13:23:06,mcc7170g,1289,wtn292g,1283,red
57380889,2017-02-10 13:12:37,6dan,1378,ttw634g,1343,red
57380890,2017-02-10 13:23:25,otoyota,1394,traihaiphong,1156,red
57380891,2017-02-10 13:20:47,ngocanh1111,1222,twc691g,1073,black
57380892,2017-02-10 13:09:10,bb1234,1526,haitoan38,1464,red
57380893,2017-02-10 13:30:54,cdw7352g,1338,nhuc1991,924,black
57380894,2017-02-10 13:17:37,bcb8283g,1214,std2982,1190,red
57380895,2017-02-10 13:21:50,bbs5109g,1160,hoangdatrang,1202,red
57380896,2017-02-10 13:29:24,traonvinhlong,1318,mpn6774g,1417,red
57380897,2017-02-10 13:26:28,sdw9057g,1112,luyentruong88,1157,red
57380898,2017-02-10 13:25:54,xexexe,1140,wbd8766g,1069,black
57380899,2017-02-10 13:31:03,bunsolist,1254,bgw4576g,1279,red
57380900,2017-02-10 13:26:31,hooco,1423,bochungno,1271,red
57380901,2017-02-10 13:25:52,pkf4686g,1262,dps6576g,1185,black
57380902,2017-02-10 13:23:07,lehai3101,1268,phuonglac,1328,red
57380903,2017-02-10 13:29:49,btnl,1306,comem,1326,red
57380904,2017-02-10 13:17:53,killer5555,1207,ngochai9999,1247,red
57380905,2017-02-10 13:13:59,felixuray,1514,wwd1169g,1095,black
57380906,2017-02-10 13:20:28,shanghaizh,1367,ame3323,1482,red
57380907,2017-02-10 13:25:01,bwk5038g,1314,bumboaiboai,1356,black
57380908,2017-02-10 13:22:13,wmf6834g,1348,tng8637g,970,black
57380909,2017-02-10 13:18:30,mmg6879g,1171,pdm405g,1084,black
57380910,2017-02-10 13:25:43,kps701g,1051,kachusas001,1119,black
57380911,2017-02-10 13:18:10,bdk5640g,1203,trinhvannam,1199,tie
57380912,2017-02-10 13:28:31,sangtt58,1003,sff9140g,1063,red
57380913,2017-02-10 13:25:39,andrewng,1424,thanhdien66,1240,red
57380914,2017-02-10 13:30:09,ttb7697g,1331,fng8929g,1293,red
57380915,2017-02-10 13:17:18,bfw5121g,1258,phuong12601,1208,black
57380916,2017-02-10 13:19:10,aztri,1153,ngodung,1253,black
57380917,2017-02-10 13:21:32,dsf2363g,1246,pfn2012g,1171,red
57380918,2017-02-10 13:30:31,ttt4933g,1191,jackal1993,1257,red
57380919,2017-02-10 13:23:01,xuancung1947,996,kfm4997,1457,red
57380920,2017-02-10 13:23:37,huykukuku,1219,mtrung56,1241,red
57380921,2017-02-10 13:25:41,cwk5175g,1455,son14,1411,black
57380922,2017-02-10 13:21:52,fmb7537g,1096,cuonghap,1295,black
57380923,2017-02-10 13:19:29,doccocaubai10,1472,mnm1282g,1525,red
57380924,2017-02-10 13:19:19,cbp1375g,1177,hungtue,1353,black
57380925,2017-02-10 13:24:13,tpc1312g,1166,thegreat,1059,black
57380926,2017-02-10 13:08:13,thieng20,1181,mfc4548g,1133,red
57380927,2017-02-10 13:13:33,tgp4102g,1365,ahsongthai,1219,red
57380928,2017-02-10 13:24:54,sff9856g,1515,luuleviethang,1436,red
57380929,2017-02-10 13:27:02,truonghn1979,1436,fnp5679g,1556,red
57380930,2017-02-10 13:20:33,kimhien0k,1339,fkg1055g,1242,black
57380931,2017-02-10 13:26:54,kbb2690g,1136,ndd210g,1178,red
57380932,2017-02-10 13:12:53,markleu8,1528,trochoisc,1655,black
57380933,2017-02-10 13:22:14,zhengquan,1183,wgp6776g,1113,red
57380934,2017-02-10 13:00:06,iamteacher,1378,01hoxam,1566,tie
57380935,2017-02-10 13:26:58,dkp6200g,1153,gtm8839g,1266,black
57380936,2017-02-10 13:27:36,smf2625g,1181,hoangthanhtam,1450,red
57380937,2017-02-10 13:26:24,long1961,1407,baotrangia,1323,black
57380938,2017-02-10 13:23:14,psf4192g,1182,tdonline,1068,black
57380939,2017-02-10 13:27:19,quanem,1297,phucnguyen,1254,red
57380940,2017-02-10 13:29:55,gsm2035g,1204,haidaica123,1448,red
57380941,2017-02-10 13:26:50,stg7411g,1365,superman78,1523,red
57380942,2017-02-10 13:14:32,linhchien,1154,fcn7189g,1221,red
57380943,2017-02-10 13:14:30,loc0987,1523,chang999,1412,red
57380944,2017-02-10 13:26:22,cothanhhoaban,1263,gst1707g,1495,black
57380945,2017-02-10 13:27:20,swf2016g,1173,pgm2785g,1266,red
57380946,2017-02-10 13:24:54,cnd5527g,1296,petpet,1266,black
57380947,2017-02-10 13:19:08,gmg3336g,1209,pfp9782g,1211,red
57380948,2017-02-10 13:15:56,csb8192g,1221,chabinh1957,1274,black
57380949,2017-02-10 13:27:16,mbf4211g,1359,caothanh1002,1388,black
57380950,2017-02-10 13:29:12,chingklin,1271,md0123,1160,red
57380951,2017-02-10 13:28:29,tkc8560g,1318,namdat78,1313,red
57380952,2017-02-10 13:11:34,duongviethu,1298,tapviai,1256,black
57380953,2017-02-10 13:17:48,hdathaiphong,1297,bac1967,1364,black
57380954,2017-02-10 13:30:57,chenzhang,1302,mamtom,1337,red
57380955,2017-02-10 13:27:39,sct9766g,1416,kcg7959g,1080,black
57380956,2017-02-10 13:30:01,tunglam48,1059,nkw4545g,1175,red
57380957,2017-02-10 13:24:23,tyz923,940,bpp6480,899,black
57380958,2017-02-10 13:28:47,yeuvan,1425,thekingof5724,1677,black
57380959,2017-02-10 13:25:27,jaguarnew,1427,wcf988g,1148,black
57380960,2017-02-10 13:29:50,psg6304g,1218,dkn5540g,1072,black
57380961,2017-02-10 13:20:27,bbp6877g,1070,rucking,1080,red
57380962,2017-02-10 13:25:05,1824,980,wtc2003g,1195,black
57380963,2017-02-10 13:23:20,dcc8148g,1211,kgw8557g,1217,red
57380964,2017-02-10 13:27:53,buithiymai,1309,cgd5601g,1188,black
57380965,2017-02-10 13:28:03,choicotuongo,1415,dungchau1623,1362,red
57380966,2017-02-10 13:27:30,trs6868,1138,bwf5779g,1347,red
57380967,2017-02-10 13:23:26,ndd9941g,1173,cff9615g,1245,red
57380968,2017-02-10 13:22:48,nkc154g,1261,mwb2689g,1153,black
57380969,2017-02-10 13:20:58,dtf9360g,1355,trongthanh17,1351,red
57380970,2017-02-10 13:30:24,stm3460g,1287,anhvu16,1314,red
57380971,2017-02-10 13:33:37,bwf5779g,1354,trs6868,1131,black
57380972,2017-02-10 13:27:09,banml1234,1488,vinh02,1511,black
57380973,2017-02-10 13:15:48,havy96,975,bnb483g,1154,red
57380974,2017-02-10 13:19:28,linhpy85,1123,tattruong,1311,black
57380975,2017-02-10 13:20:02,knf9600g,1317,khoakhoa99,1348,black
57380976,2017-02-10 13:23:31,aa0000,1572,dbp8041g,1248,red
57380977,2017-02-10 13:27:07,methuoclao,1196,fwm9359g,1211,black
